# airbench94.py Training Results
# CIFAR-10 Image Classification Benchmark
# Log file: logs/8953448b-a7fa-4ae7-a6bc-f0edf65f5f81/log.pt

------------------------------------------------------------------------------------------------------
|   Epoch  |   Step  |      Loss  |  Train Acc |  Batch Acc |    Eval Acc |   Time (s)          |
|          |      4  |      1.1055  |     0.8877  |   0.8606  |             |              2.2859  |
|          |      5  |      1.1182  |     0.8750  |   0.8386  |             |              2.7221  |
|          |      6  |      1.0508  |     0.9131  |   0.8950  |             |              3.1578  |
|          |      7  |      1.0283  |     0.9209  |   0.8963  |             |              3.5942  |
|          |      8  |      0.9688  |     0.9619  |   0.9243  |             |              4.0305  |
|          |      9  |      0.9341  |     0.9814  |   0.9327  |             |              4.4316  |
|          |   eval  |      0.9341  |     0.9814  |   0.9327  |     0.9397  |              4.6088  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.3838  |     0.7305  |   0.6846  |             |              0.4747  |
|          |      1  |      1.2646  |     0.7939  |   0.6801  |             |              0.9432  |
|          |      2  |      1.2227  |     0.8320  |   0.7281  |             |              1.4112  |
|          |      3  |      1.1455  |     0.8740  |   0.8587  |             |              1.8477  |
|          |      4  |      1.1445  |     0.8740  |   0.8581  |             |              2.2835  |
|          |      5  |      1.1016  |     0.8818  |   0.8506  |             |              2.7198  |
|          |      6  |      1.0557  |     0.9180  |   0.8756  |             |              3.1557  |
|          |      7  |      1.0088  |     0.9355  |   0.9104  |             |              3.5920  |
|          |      8  |      0.9746  |     0.9551  |   0.9227  |             |              4.0278  |
|          |      9  |      0.9399  |     0.9736  |   0.9333  |             |              4.4283  |
|          |   eval  |      0.9399  |     0.9736  |   0.9333  |     0.9421  |              4.6058  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4336  |     0.6846  |   0.6291  |             |              0.5195  |
|          |      1  |      1.2666  |     0.8154  |   0.6354  |             |              0.9881  |
|          |      2  |      1.1982  |     0.8457  |   0.7333  |             |              1.4561  |
|          |      3  |      1.1816  |     0.8457  |   0.8219  |             |              1.8927  |
|          |      4  |      1.1143  |     0.8965  |   0.8364  |             |              2.3286  |
|          |      5  |      1.0938  |     0.8975  |   0.8670  |             |              2.7649  |
|          |      6  |      1.0537  |     0.9150  |   0.8958  |             |              3.2008  |
|          |      7  |      1.0146  |     0.9316  |   0.9050  |             |              3.6372  |
|          |      8  |      0.9731  |     0.9580  |   0.9217  |             |              4.0732  |
|          |      9  |      0.9463  |     0.9756  |   0.9282  |             |              4.4737  |
|          |   eval  |      0.9463  |     0.9756  |   0.9282  |     0.9394  |              4.6509  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4268  |     0.6943  |   0.6687  |             |              0.4745  |
|          |      1  |      1.2637  |     0.8105  |   0.7700  |             |              0.9431  |
|          |      2  |      1.2412  |     0.8115  |   0.6186  |             |              1.4112  |
|          |      3  |      1.1572  |     0.8584  |   0.8164  |             |              1.8480  |
|          |      4  |      1.1348  |     0.8770  |   0.8375  |             |              2.2840  |
